title,family_id,season,color,adventurous,print,style,weather,level
Filena Cardigan nais white 7,Cardigan,7,white,2,smooth,boho,warm_season,2
Filena Cardigan nais yellow 7,Cardigan,7,yellow,2,smooth,boho,warm_season,2
Gilet Cardigan lurexorange 7,Cardigan,7,orange,3,vertical_stripes,boho,warm,2
Gilet Cardigan lurexpurple 7,Cardigan,7,purple,3,vertical_stripes,boho,warm,2
Hanna Cardigan knitorange 8,Cardigan,8,orange,2,smooth,boho,cold_season,2
Haywood Cardigan bay green 7,Cardigan,7,green,3,smooth,boho,cold_season,2
Haywood Cardigan knitblue dark 8,Cardigan,8,blue dark,3,smooth,boho,cold_season,2
Haywood Cardigan knitbrown 8,Cardigan,8,brown,3,smooth,boho,cold_season,2
Ihalpa Cardigan aqua blue dark 9,Cardigan,9,blue dark,1,smooth,minimal,cold_season,2
Ihalpa Cardigan aqua blue light 9,Cardigan,9,blue light,1,smooth,minimal,cold_season,2
Ihalpa Cardigan aqua brown 9,Cardigan,9,brown,1,smooth,minimal,cold_season,2
Ihalpa Cardigan aqua green 9,Cardigan,9,green,1,smooth,minimal,cold_season,2
Ihalpa Cardigan aqua yellow 9,Cardigan,9,yellow,1,smooth,minimal,cold_season,2
Ihamara Cardigan sugarbrown 8,Cardigan,8,brown,2,smooth,boho,cold,2
Ihamara Cardigan sugargreen 8,Cardigan,8,green,2,smooth,boho,cold,2
Ihmafa Cardigan sweet black 7,Cardigan,7,black,2,smooth,classic,cold_season,2
Ihmafa Cardigan sweet blue dark 7,Cardigan,7,blue dark,2,smooth,classic,cold_season,2
Ihmara Cardigan colorsblack 8,Cardigan,8,black,2,smooth,boho,cold,2
Ihmara Cardigan colorsbrown 8,Cardigan,8,brown,2,smooth,boho,cold,2
Ihmara Cardigan colorsgray 8,Cardigan,8,gray,2,smooth,boho,cold,2
Ihmara Cardigan colorsred 8,Cardigan,8,red,2,smooth,boho,cold,2
Ihmara Cardigan colorsyellow 8,Cardigan,8,yellow,2,smooth,boho,cold,2
Jarrel Cardigan mine blue light 7,Cardigan,7,blue light,4,smooth,classic,cold_season,2
Jers Cardigan zeze blue dark 9,Cardigan,9,blue dark,1,smooth,minimal,cold_season,2
Jers Cardigan zeze gray 9,Cardigan,9,gray,1,smooth,minimal,cold_season,2
Johnson Cardigan knit blue dark 9,Cardigan,9,blue dark,2,smooth,boho,cold_season,2
Jone Cardigan soft black 9,Cardigan,9,black,1,smooth,boho,cold_season,2
Jone Cardigan soft blue dark 9,Cardigan,9,blue dark,1,smooth,boho,cold_season,2
Jone Cardigan soft green 9,Cardigan,9,green,1,smooth,boho,cold_season,2
Juane Cardigan gilet blue dark 7,Cardigan,7,blue dark,2,horizontal_stripes,casual,cold_season,2
Juane Cardigan gilet red 7,Cardigan,7,red,2,horizontal_stripes,casual,cold_season,2
Juane Cardigan gilet yellow 7,Cardigan,7,yellow,2,horizontal_stripes,casual,cold_season,2
Karla Cardigan buttonsblue dark 7,Cardigan,7,blue dark,2,smooth,boho,cold,2
Karla Cardigan buttonspink 7,Cardigan,7,pink,2,smooth,boho,cold,2
Karla Cardigan buttonsyellow 7,Cardigan,7,yellow,2,smooth,boho,cold,2
Laia Cardigan touch pink 7,Cardigan,7,pink,2,smooth,classic,warm_season,2
Laura Cardigan knit black 9,Cardigan,9,black,2,smooth,classic,cold_season,2
Lea Cardigan pocket black 8,Cardigan,8,black,3,smooth,boho,cold_season,2
Lea Cardigan pocket blue dark 8,Cardigan,8,blue dark,3,smooth,boho,cold_season,2
Lidia Cardigan lace blue dark 9,Cardigan,9,blue dark,2,smooth,boho,warm,2
Lidia Cardigan lace white 9,Cardigan,9,white,2,smooth,boho,warm,2
Lina Cardigan longerblack 7,Cardigan,7,black,2,smooth,casual,cold_season,2
Lina Cardigan longerblue dark 7,Cardigan,7,blue dark,2,smooth,casual,cold_season,2
Lina Cardigan longerorange 7,Cardigan,7,orange,2,smooth,casual,cold_season,2
Lina Cardigan longerred 7,Cardigan,7,red,2,smooth,casual,cold_season,2
Lina Cardigan longeryellow 7,Cardigan,7,yellow,2,smooth,casual,cold_season,2
Lina Cardigan longerblack 8,Cardigan,8,black,2,smooth,casual,cold_season,2
Lina Cardigan longerblue dark 8,Cardigan,8,blue dark,2,smooth,casual,cold_season,2
Lina Cardigan longergreen 8,Cardigan,8,green,2,smooth,casual,cold_season,2
Lina Cardigan longerpink 8,Cardigan,8,pink,2,smooth,casual,cold_season,2
